"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.306700329044664473148216,13.97154530176752903112151,0.7593372927820222,0.5952908362438327,0.01247246420386793353750425,0.6000010045171253,-8.314962215042051,1,1,0.05,1,1.,0.1,1,0.1,1.035560978680484952332459e-8
0.2380561801528426210680324,3.350027784795350338288521,0.7629538550685238,0.6039681442016515,0.03062442142916518645862223,0.6327675296918004,-4.839758677895703,1,1,0.1,1,1.,0.1,1,0.1,4.225132186983826112780313e-20
0.2049384402772426392761158,1.61531472201121020906447,0.7450965696383753,0.5807625457550714,0.04664086319767102838425975,0.6348923246957331,-3.265006005897546,1,1,0.15000000000000002,1,1.,0.1,1,0.1,1.155340640192286345054167e-20
0.1838316275717180866939834,1.005293447848514899886499,0.7216866308735721,0.5503803690071026,0.05991955057477117772683712,0.6276982764862314,-2.3864790146546433,1,1,0.2,1,1.,0.1,1,0.1,7.336037437643455418629728e-22
0.1675935474100691611717754,0.7036419875945947757777769,0.6971306545629382,0.5194572656503615,0.07081897025733680633341966,0.6175558705609874,-1.8348194521866956,1,1,0.25,1,1.,0.1,1,0.1,5.084241604777830505091007e-22
0.1537991090227850886747265,0.5247152904788328044945597,0.6727671764051684,0.4897867613385312,0.07969391775937350548131665,0.606432923962522,-1.4601581479419707,1,1,0.3,1,1.,0.1,1,0.1,1.074914886437162530281254e-22
0.1415644030499317866966479,0.4067961460146283299790517,0.6490094114639824,0.4617755513770241,0.08685282448094851249778018,0.5949114705448256,-1.1917784139794076,1,1,0.35000000000000003,1,1.,0.1,1,0.1,9.950992789784349830930943e-23
0.1305322708474284820126979,0.3238416036195851164858637,0.6259718388764852,0.4354310157774668,0.09256339389482440690341859,0.5831399820670556,-0.992079482857562,1,1,0.4,1,1.,0.1,1,0.1,2.021136929632585373451542e-23
0.1205281124748853256574877,0.2628998254433585890389101,0.6036697803853084,0.4106572764810828,0.09705525911860204630348407,0.5711448333547064,-0.839165833647069,1,1,0.45000000000000007,1,1.,0.1,1,0.1,1.42438451536974887800786e-23
0.1114403697357686119834142,0.2167310068696058941723204,0.5820864212387047,0.38734356874193027,0.1005225060541518072572958,0.5589306546058148,-0.7193916112906363,1,1,0.5,1,1.,0.1,1,0.1,1.234767895227613739570555e-22
0.1031798561474107348222565,0.1809337931318320647843982,0.5611957974736117,0.36538794516713435,0.1031273456388279977856093,0.5465088883912479,-0.6238084179940564,1,1,0.55,1,1.,0.1,1,0.1,9.947379055731537075673337e-22
0.0956669879994585368447799,0.1526642866184938101132954,0.5409705667802216,0.34470118842667097,0.1050045155279702759496167,0.5339024176020882,-0.5463155816187046,1,1,0.6000000000000001,1,1.,0.1,1,0.1,2.017479647950243630750095e-22
0.08882849500654375100654807,0.1300001707240163869079748,0.5213844362691477,0.3252053183256456,0.1062657502374316912563767,0.5211431263077266,-0.48262474531955973,1,1,0.6500000000000001,1,1.,0.1,1,0.1,4.598637314892430156658857e-21
0.08259697191721692206523456,0.1115967178143127535718988,0.5024127247151882,0.30683117250817366,0.1070038770827618825663534,0.508268188690467,-0.42964573469610684,1,1,0.7000000000000002,1,1.,0.1,1,0.1,4.508748298697427218589655e-20
0.07691098853655612973691223,0.09648751722827568882218375,0.48403228384626795,0.28951627640955546,0.1072963336219875030638565,0.4953168477869118,-0.3851050865773523,1,1,0.7500000000000001,1,1.,0.1,1,0.1,7.394335111994184614375215e-17
0.07165565794190587246640427,0.08222524691927605557986171,0.4692364881584177,0.27498870740519815,0.109217107250310372446609,0.4952197745005537,-0.3445979721846085,1,1,0.8000000000000002,1,1.,0.1,1,0.1,9.698615942619687604036573e-24
0.06692294919242282576686394,0.07025328615062727483775674,0.45590555624462703,0.261891498198252,0.1114179332865215143111402,0.4979995602325456,-0.3096622661611935,1,1,0.8500000000000001,1,1.,0.1,1,0.1,8.976167079004730096624685e-24
0.06266688362429198762856482,0.06046940074767683618090109,0.4432368970794167,0.24969176815306,0.1134277105073496708549917,0.5003808553806625,-0.2798552522485505,1,1,0.9000000000000001,1,1.,0.1,1,0.1,2.440001125354574244282331e-24
0.05882472140671803963659976,0.0523972342355753784781742,0.43118370661808025,0.2383145945948607,0.1152717922556650966321978,0.502421911774261,-0.2542185652643092,1,1,0.9500000000000001,1,1.,0.1,1,0.1,2.097319592007675524228662e-23
0.05534358401293614627299,0.04567961034655994375860568,0.41970297272043666,0.22769167159839748,0.1169712877906924244975969,0.5041717762566461,-0.23200681454082184,1,1,1.,1,1.,0.1,1,0.1,4.036950670789425662350505e-24
