phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,m_metabolic,sigm_metabolic,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size,epsilon_Metabolic
1.0,0.20118000000000005,0.9999997513678324,0.036545263607407535,0.9999997513678324,0.18165455615571893,-1.3986606009431882e-05,0.9999995027402413,0.011245811947620234,0.9999995027402413,0.05589925413868295,3.4611116768461445e-10,100.59,1.342348687934696,0.0,0.0026846973758693866,1.594847008158479e-08,0.0004917627014862702,3.189672656323475e-08,0.0007685610375697525,4.514709532988231e-12,0.009910255655485327,9.998725031318326,99.98448480021122,899.8722809717245,1.0142068928595842,1402.9651235010535,2.3240969880037414,49.99145997485875,5.021381016031115,0.006224150863088635,0.0002614841860750023,0.00026798161148299275,-1712577553005.05,-11.808351645098888,0.0002199027869552525,-2052162614698.5503,-0.0004210977924771057,linear,500,10.0,1.0,100,500,0.1,100,1e-05
1.0,0.19996000000000003,0.9999993774505694,0.03667788160310232,0.9999993774505694,0.18342609323415845,-3.502436111243739e-05,0.9999987549293552,0.011343573367426724,0.9999987549293552,0.05672921267966956,2.1627715600004515e-09,99.98,1.0097524449091468,0.0,0.002019504889818294,4.2650043130349925e-08,0.0005215157244733813,8.529905369690537e-08,0.000789404710860427,2.7828760687101535e-11,0.009998306368535532,9.999451529255786,99.99899738530098,899.9445966829262,1.0336712644912027,1402.7808983445834,2.3732111927260684,49.967580007257496,4.978912546424807,0.008336483943171167,0.00040822536042132464,0.000409500911400676,-946107504891.4083,-10.56167678658697,0.0003599385611813086,-149541527927.61096,-0.00012231046710506935,linear,500,10.0,1.0,100,500,0.1,100,2.5118864315095822e-05
1.0,0.19932,0.9999984398174893,0.03658891240670621,0.9999984398174893,0.1835686955985662,-8.864423962866319e-05,0.9999968798179723,0.011076897572633087,0.9999968798179723,0.055573437550838295,1.3856308912720786e-08,99.66,0.6666333324999583,0.0,0.0013332666649999176,1.0154967361596111e-07,0.0004908587712924746,2.030918996995319e-07,0.0007656201115614229,1.805596155745223e-10,0.009738149061527467,9.99972419286532,100.00464811482843,899.9710285664978,0.9759488573134744,1402.6967290303062,2.2462224090267164,50.027040172112194,5.020206317374316,0.011574253993620548,0.0006125417498831576,0.0005884386011731826,-1119772358680.118,-7.132071100707777,0.00039008387794071974,125027078294.55093,-0.0003866599410107304,linear,500,10.0,1.0,100,500,0.1,100,6.309573444801929e-05
1.0,0.19923999999999997,0.9999960569975473,0.036627714585725786,0.9999960569975473,0.18383715411426316,-0.00022292679576784002,0.999992115189222,0.011226846400938375,0.999992115189222,0.05634835575656683,8.785823739600264e-08,99.62,0.6446704584514479,0.0,0.0012893409169028966,2.7427328270145633e-07,0.000557557733198164,5.48485938874681e-07,0.0007327153507923556,1.1785800867224425e-09,0.009885256925164985,9.999335459521468,99.9966899015191,899.9300334985584,0.9667249782844779,1402.5501937607391,2.2291881069968404,49.98728020315911,5.009882908834781,0.01143947627256479,0.0005404910325275893,0.0005463373682420671,999114116798.9131,-11.002118005351972,0.0004001369324625643,-32107851241.49782,-0.00039571189922772996,linear,500,10.0,1.0,100,500,0.1,100,0.00015848931924611142
1.0,0.19880000000000003,0.9999901274939009,0.03655674123757341,0.9999901274939009,0.18388702835801515,-0.0005624898254399452,0.9999802624182275,0.011238086743718482,0.9999802624182275,0.05652961138691391,5.558843405319853e-07,99.4,0.8246211251235323,0.0,0.0016492422502470657,6.541665236168741e-07,0.0004985640759852454,1.3082154682069185e-06,0.0007180829513804138,7.3329592665017135e-09,0.009901691413807583,9.998554760468311,99.98107833765098,899.8466475490158,0.8699333503051635,1402.3384406528435,2.0048141875474883,49.9988203115118,5.009356350495424,0.01320313730710588,0.0005891872041658006,0.0006582324610768133,-76.98475621576534,-76.98475621576534,0.0005998639094612771,-76.98475631287434,-0.0005998639094570879,linear,500,10.0,1.0,100,500,0.1,100,0.0003981071705534969
1.0,0.19866,0.9999753289118247,0.03645913142721469,0.9999753289118247,0.18352527648854672,-0.001399665970404426,0.9999507038595887,0.011108597377580182,0.9999507038595887,0.0559176350426869,3.4581945790181224e-06,99.33,0.8252878285786118,0.0,0.001650575657157225,1.7337519550034016e-06,0.0004953140627508728,3.467231363134894e-06,0.0008323395469544901,4.542727668536901e-08,0.009779329113153268,9.998562768623794,99.98109812235896,899.8342134421952,0.952540811042509,1402.3049851379296,2.1965918782898983,49.98978002504914,5.014256914259994,0.01519915194143941,0.0007223922914461533,0.0007381463891010906,-5.404919087810335,-5.404919087810335,0.0006698326626962687,-5.404919087856164,-0.0006698326626961222,linear,500,10.0,1.0,100,500,0.1,100,0.001
1.0,0.19796,0.9999378593557885,0.03655070554275743,0.9999378593557885,0.1846368233115651,-0.003531647299471109,0.999876009304171,0.011322297161012266,0.999876009304171,0.05719487351491343,2.20054830023409e-05,98.98,1.0768472500777442,0.0,0.0021536945001554906,4.1204687761882675e-06,0.0005052405679413091,8.22620114164254e-06,0.0007523640935132983,2.867311343269504e-07,0.009986343085338908,10.000095994474297,100.01180622326592,899.953764753025,0.9815849379964118,1402.5987756582388,2.2583470902502185,50.011267912891775,5.010691136004037,0.01738738149244479,0.0007710022907288094,0.0007771654035357788,-4.607204956754918,-4.607204956754918,0.0010199938022601106,-4.607204956738487,-0.0010199938022603695,linear,500,10.0,1.0,100,500,0.1,100,0.0025118864315095794
1.0,0.1975,0.9998439974246844,0.0365633861075127,0.9998439974246844,0.18513106889879855,-0.00884911819243793,0.9996897607000764,0.011258250668527859,0.9996897607000764,0.05700380085330563,0.00013737272020029358,98.75,1.1346805717910218,0.0,0.0022693611435820452,1.0069577171588778e-05,0.00047012485974251447,2.0030348359310978e-05,0.0007022861159281389,1.7415139040626207e-06,0.009921369464880807,10.000624862712936,100.02244952686023,899.9213941914736,0.9730341104733602,1402.586102622642,2.239149022945389,49.99829300976812,5.02489092455994,0.020152302060119035,0.000889588194823604,0.0009032706130197974,-3.8526771152521797,-3.8526771152521797,0.0012497368578543665,-3.8526771152535058,-0.001249736857854243,linear,500,10.0,1.0,100,500,0.1,100,0.00630957344480193
1.0,0.19382,0.9995994048142401,0.03665128586380837,0.9995994048142401,0.18909960718093263,-0.022351631115392928,0.9992095942918644,0.01169716849219458,0.9992095942918644,0.060350678424283245,0.0008676143751754537,96.91,1.6618965070063778,0.0,0.0033237930140127586,2.414889249942875e-05,0.000454378944566817,4.790254399141881e-05,0.0008686531881487885,1.0624186881249782e-05,0.01035385173672398,10.004767269995142,100.10593394347455,900.1081030198428,1.1274160744306447,1403.170303296958,2.596812249810889,49.96919304928255,5.030165990686072,0.03786359810446093,0.0016069532192450166,0.0017597938990401196,-2.2764570049526163,-2.2764570049526163,0.0030878371188785016,-2.2764570049519985,-0.0030878371188785407,linear,500,10.0,1.0,100,500,0.1,100,0.015848931924611124
1.0,0.18614,0.999005428700688,0.03671142499661868,0.999005428700688,0.19722480389286923,-0.05553187711778248,0.9980716576327356,0.012118099900199266,0.9980716576327356,0.06510207317180222,0.0053293409187449405,93.07,2.4176641619546753,0.0,0.004835328323909354,7.456683509002747e-05,0.0005732392803583286,0.00014603438369919475,0.001084074710130618,5.981105929030319e-05,0.010770371174916906,10.009967723765039,100.2142449479074,900.047900496899,0.9916227609298611,1403.4529011813183,2.2920130351348975,49.99307489458973,5.007539224052023,0.09139192416779901,0.004071495605637367,0.004122293060486787,-1.053225864817058,-1.053225864817058,0.0069149959702109985,-1.053225864817024,-0.006914995970210954,linear,500,10.0,1.0,100,500,0.1,100,0.03981071705534969
