phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size
1.0,0.0,0.4998057503861551,0.0,0.4998057503861551,,-1.0004626074110166,0.2597924399395512,0.0,0.2597924399395512,,1.0109459391628346,0.0,0.0,0.0,0.0,0.010313281673796611,0.0,0.010450036733266688,0.0,0.009986651820483597,0.0,1.0,1.0,0.0,0.0,-1.696002982498612e-11,7.597526000395302e-12,0.0,0.0,0.0,0.0,,0.49980575038615516,0.0,-0.49980575038615516,linear,100,0.5,1.0,100,100,0.0,1000
1.0,0.0,0.4998681341534241,0.0,0.4998681341534241,,-0.9752644865702343,0.2599408177435926,0.0,0.2599408177435926,,0.961150432305811,0.0,0.0,0.0,0.0,0.01034531891805586,0.0,0.010510018514190405,0.0,0.010072666201567004,0.0,1.0,1.0,0.0,0.0,-1.2709530154041946e-07,7.618600892445825e-08,0.0,0.0,0.0,0.0,,0.49986813415342424,0.0,-0.49986813415342424,linear,100,0.5,1.0,100,100,0.001,1000
1.0,0.0,0.4996851127128901,0.0,0.4996851127128901,,-0.950563129118645,0.2596207902078427,0.0,0.2596207902078427,,0.9135524591032987,0.0,0.0,0.0,0.0,0.0100840316091593,0.0,0.01010666026228606,0.0,0.009935578340948957,0.0,1.0,1.0,0.0,0.0,-4.965783055687285e-08,3.647403762925555e-08,0.0,0.0,0.0,0.0,,0.49968511271289007,0.0,-0.49968511271289007,linear,100,0.5,1.0,100,100,0.002,1000
1.0,0.0,0.4998042003451722,0.0,0.4998042003451722,,-0.9252764335378176,0.25986448330727413,0.0,0.25986448330727413,,0.8661583268514458,0.0,0.0,0.0,0.0,0.009851455323653753,0.0,0.009930861964425474,0.0,0.010060244624597094,0.0,1.0,1.0,0.0,0.0,-2.5050566970204936e-08,2.2983125161666884e-08,0.0,0.0,0.0,0.0,,0.49980420034517226,0.0,-0.49980420034517226,linear,100,0.5,1.0,100,100,0.003,1000
1.0,0.0,0.5009469418697179,0.0,0.5009469418697179,,-0.9005111386809435,0.261003034089302,0.0,0.261003034089302,,0.8209864089440553,0.0,0.0,0.0,0.0,0.010284921380757674,0.0,0.010349693857815968,0.0,0.010055195520679466,0.0,1.0,1.0,0.0,0.0,-1.5254618010549058e-08,1.5333170891303502e-08,0.0,0.0,0.0,0.0,,0.5009469418697179,0.0,-0.5009469418697179,linear,100,0.5,1.0,100,100,0.004,1000
1.0,0.0,0.5004689717332678,0.0,0.5004689717332678,,-0.8753262548723476,0.26042891834168064,0.0,0.26042891834168064,,0.7762723598956619,0.0,0.0,0.0,0.0,0.009762005990192654,0.0,0.009821853959954281,0.0,0.009959726673926235,0.0,1.0,1.0,0.0,0.0,-6.931950456086514e-09,1.080371519272304e-08,0.0,0.0,0.0,0.0,,0.5004689717332678,0.0,-0.5004689717332678,linear,100,0.5,1.0,100,100,0.005,1000
1.0,0.0,0.5005911206505227,0.0,0.5005911206505227,,-0.8495656577390815,0.2606465522897407,0.0,0.2606465522897407,,0.7318624346879119,0.0,0.0,0.0,0.0,0.00987651718650597,0.0,0.01000252805691799,0.0,0.010055082215594532,0.0,1.0,1.0,0.0,0.0,-3.5445456063598612e-09,6.913482080853644e-09,0.0,0.0,0.0,0.0,,0.5005911206505226,0.0,-0.5005911206505226,linear,100,0.5,1.0,100,100,0.006,1000
1.0,0.0,0.4993608793442086,0.0,0.4993608793442086,,-0.8254757854670379,0.25924794481802393,0.0,0.25924794481802393,,0.6915732333386668,0.0,0.0,0.0,0.0,0.00990802262424231,0.0,0.010056848821308492,0.0,0.00988665699860272,0.0,1.0,1.0,0.0,0.0,-1.4137358874677375e-09,4.423568055004143e-09,0.0,0.0,0.0,0.0,,0.4993608793442086,0.0,-0.4993608793442086,linear,100,0.5,1.0,100,100,0.007,1000
1.0,0.0,0.5009899460306372,0.0,0.5009899460306372,,-0.7995924792681175,0.2609459439077889,0.0,0.2609459439077889,,0.6494909381646582,0.0,0.0,0.0,0.0,0.009859141028386132,0.0,0.009967185160391044,0.0,0.009955017884008172,0.0,1.0,1.0,0.0,0.0,-7.168468763699043e-10,2.8392256227714288e-09,0.0,0.0,0.0,0.0,,0.5009899460306372,0.0,-0.5009899460306372,linear,100,0.5,1.0,100,100,0.008,1000
1.0,0.0,0.49932275528372244,0.0,0.49932275528372244,,-0.7754594460895581,0.25928027531440495,0.0,0.25928027531440495,,0.6114335999639195,0.0,0.0,0.0,0.0,0.009711662423263392,0.0,0.009791289114550693,0.0,0.009957061370276781,0.0,1.0,1.0,0.0,0.0,2.7200286467632395e-11,1.813675669775418e-09,0.0,0.0,0.0,0.0,,0.4993227552837225,0.0,-0.4993227552837225,linear,100,0.5,1.0,100,100,0.009000000000000001,1000
